-0.476,-0.137,1.172,15.564,11.780,9.399
-0.500,-0.134,1.227,19.897,22.156,11.536
-0.507,-0.133,1.268,26.978,34.363,16.113
-0.497,-0.128,1.297,37.659,43.518,21.423
-0.490,-0.124,1.321,51.208,47.974,26.184
-0.479,-0.158,1.326,65.857,47.852,31.860
-0.482,-0.195,1.332,79.712,45.044,36.926
-0.472,-0.201,1.360,91.370,41.748,40.222
-0.490,-0.207,1.392,103.455,37.170,44.556
-0.493,-0.247,1.411,118.530,29.297,50.049
-0.484,-0.265,1.422,134.644,20.874,56.946
-0.458,-0.246,1.435,148.193,11.902,63.293
-0.423,-0.234,1.441,157.776,-0.366,66.284
-0.413,-0.274,1.449,163.269,-13.306,63.782
-0.423,-0.329,1.476,164.673,-25.146,57.312
-0.465,-0.373,1.517,164.429,-37.537,50.903
-0.500,-0.396,1.576,167.053,-51.086,49.072
-0.542,-0.405,1.627,176.392,-66.162,52.368
-0.592,-0.423,1.662,190.796,-83.801,58.533
-0.645,-0.410,1.670,208.618,-97.229,68.176
-0.657,-0.417,1.653,223.389,-100.037,77.759
-0.681,-0.420,1.609,230.896,-93.872,85.571
-0.680,-0.401,1.549,235.168,-81.604,91.248
-0.679,-0.382,1.464,237.793,-65.918,96.741
-0.645,-0.363,1.350,239.807,-48.828,103.882
-0.607,-0.322,1.221,243.958,-35.217,112.915
-0.532,-0.247,1.094,250.244,-28.381,122.070
-0.444,-0.230,0.957,257.446,-28.259,127.686
-0.369,-0.221,0.832,261.841,-33.569,127.747
-0.298,-0.218,0.732,260.437,-43.823,124.634
-0.257,-0.216,0.669,255.920,-55.542,118.835
-0.228,-0.206,0.614,253.052,-65.247,113.159
-0.235,-0.187,0.537,252.258,-72.266,110.107
-0.220,-0.229,0.463,252.869,-71.228,113.037
-0.170,-0.238,0.367,252.686,-62.561,119.080
-0.094,-0.229,0.279,249.023,-56.946,124.084
-0.038,-0.224,0.203,245.789,-57.861,124.634
-0.003,-0.242,0.115,244.690,-59.265,121.216
0.020,-0.285,0.026,241.699,-58.350,118.347
0.035,-0.321,-0.050,235.962,-54.932,117.249
0.058,-0.336,-0.118,229.065,-49.744,116.760
0.086,-0.338,-0.198,221.802,-43.579,115.845
0.135,-0.369,-0.272,213.013,-36.133,114.990
0.212,-0.408,-0.335,201.050,-30.029,112.732
0.258,-0.432,-0.382,188.538,-28.687,108.582
0.277,-0.439,-0.399,179.260,-33.203,103.210
0.288,-0.423,-0.410,173.340,-38.391,99.487
0.299,-0.435,-0.437,168.640,-40.955,96.375
0.304,-0.477,-0.473,164.185,-40.527,92.285
0.315,-0.503,-0.510,160.461,-39.001,87.891
0.330,-0.527,-0.557,155.457,-38.025,81.848
0.329,-0.549,-0.613,149.109,-37.109,74.646
0.314,-0.559,-0.655,140.625,-36.560,68.237
0.262,-0.569,-0.668,129.639,-36.499,64.575
0.218,-0.551,-0.670,119.873,-33.203,66.467
0.214,-0.533,-0.673,114.685,-28.320,73.853
0.234,-0.539,-0.699,114.014,-23.926,84.045
0.276,-0.564,-0.773,115.173,-18.005,92.224
0.375,-0.562,-0.829,111.023,-10.742,93.689
0.452,-0.531,-0.866,97.961,-6.348,90.637
0.518,-0.511,-0.863,83.374,-7.629,82.520
0.539,-0.489,-0.820,74.097,-12.939,71.106
0.535,-0.483,-0.787,67.810,-20.264,60.852
0.507,-0.500,-0.787,65.125,-25.391,51.819
0.504,-0.546,-0.799,62.683,-24.231,44.373
0.500,-0.540,-0.793,56.519,-18.311,42.786
0.498,-0.536,-0.805,48.096,-7.507,44.556
0.501,-0.539,-0.848,37.781,0.427,39.612
0.557,-0.547,-0.856,30.212,3.906,34.119
0.663,-0.547,-0.845,25.452,2.380,31.250
0.628,-0.455,-0.819,20.447,-6.226,21.423
0.570,-0.476,-0.778,21.423,-14.709,10.315
0.557,-0.608,-0.778,22.461,-18.372,1.526
0.482,-0.645,-0.801,16.113,-18.433,-7.751
0.402,-0.634,-0.760,7.751,-13.184,-9.460
0.338,-0.629,-0.713,0.854,-5.920,-3.906
0.391,-0.678,-0.687,-2.075,3.845,3.906
0.432,-0.689,-0.705,-3.906,10.742,6.714
0.479,-0.666,-0.705,-5.493,11.230,5.737
0.480,-0.631,-0.673,-5.859,5.127,4.395
0.469,-0.651,-0.640,-4.211,-0.732,3.784
0.466,-0.713,-0.625,-2.869,-4.822,0.000
0.452,-0.743,-0.621,-3.418,-4.944,-6.775
0.407,-0.732,-0.597,-7.263,-3.357,-11.536
0.380,-0.751,-0.564,-10.986,0.000,-11.169
0.377,-0.782,-0.543,-14.038,7.080,-11.963
0.372,-0.789,-0.551,-17.578,10.681,-15.015
0.354,-0.786,-0.552,-17.761,10.559,-16.296
0.339,-0.796,-0.544,-15.808,7.568,-15.625
0.325,-0.803,-0.529,-14.099,4.395,-13.733
0.313,-0.818,-0.514,-13.123,4.822,-12.817
0.303,-0.830,-0.505,-13.367,5.615,-13.672
0.286,-0.842,-0.498,-12.817,5.859,-13.855
0.271,-0.850,-0.489,-11.536,5.798,-13.000
0.264,-0.844,-0.481,-10.071,4.883,-11.658
0.255,-0.837,-0.485,-7.263,4.028,-9.827
0.230,-0.845,-0.496,-4.578,3.845,-7.629
0.227,-0.866,-0.504,-2.502,4.028,-4.456
0.234,-0.863,-0.510,-1.709,4.517,-1.465
0.249,-0.847,-0.512,-1.587,5.981,0.854
0.268,-0.833,-0.512,-1.526,6.775,1.953
0.289,-0.826,-0.511,-1.343,6.287,1.526
0.291,-0.826,-0.512,-0.427,4.700,0.366
0.287,-0.833,-0.509,0.732,2.869,0.183
0.280,-0.835,-0.508,1.404,2.319,0.977
0.275,-0.836,-0.511,1.770,3.418,2.319
0.294,-0.833,-0.509,2.136,5.188,4.028
0.286,-0.827,-0.523,2.258,6.653,4.883
0.312,-0.831,-0.531,3.052,9.216,3.357
0.315,-0.815,-0.540,1.892,8.301,2.930
0.322,-0.812,-0.534,2.075,5.859,2.808
0.305,-0.805,-0.537,3.113,3.174,1.038
0.288,-0.809,-0.534,4.028,0.305,0.000
0.280,-0.825,-0.540,4.944,0.061,-0.061
0.266,-0.820,-0.552,4.333,2.136,-0.305
0.275,-0.823,-0.554,3.052,4.272,0.793
0.287,-0.817,-0.557,1.587,6.042,1.526
0.299,-0.806,-0.555,0.488,5.920,1.648
0.307,-0.802,-0.547,0.610,4.700,2.014
